rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
1574,360 Security Technology,China,10,China,321,39253,3637,Hong Zhou,Software & Programming,
214,3M,United States,4137,Minnesota,32250,121802,38575,Inge Thulin,Conglomerates,Minnesota
1252,3i Group,United Kingdom,1535.3,United Kingdom,353,12940,9641,Simon Borrows,Investment Services,
1618,77 Bank,Japan,188.5,Japan,898,1840,75939,Hiroshi Kamata,Regional Banks,
1296,AAC Technologies Holdings,China,791.2,China,3137,18945,4718,Zheng Pan,Electronics,
264,ABB,Switzerland,2057.2,Switzerland,35037,51263,43570,Ulrich Spiesshofer,Conglomerates,
1479,AECOM Technology,United States,181.4,California,19120,5331,14617,Michael Burke,Construction Services,California
1142,AES,United States,158,Virginia,12474,8129,32573,Andrés Ricardo Weilert,Electric Utilities,Virginia
1172,AGL Energy,Australia,640.8,Australia,9968,10867,11229,Andy Vesey,Electric Utilities,
1028,AGNC Investment,United States,1119,Maryland,2196,7435,69221,Gary Kain,Investment Services,Maryland
92,AIA Group,Hong Kong,6120.5,Hong Kong,31917,111406,213210,Ng Keng Hooi,Life & Health Insurance,
101,AIRBUS,Netherlands,2976.5,Netherlands,74672,92149,138333,Thomas Enders,Aerospace & Defense,
1377,ALFA,Mexico,-86.6,Mexico,17397,5814,19120,Armando Sada,Conglomerates,
762,AMP,Australia,650,Australia,12751,8121,115825,Mike Wilkins,Investment Services,
104,ANZ,Australia,5272.9,Australia,28739,61245,717290,Shayne Elliott,Major Banks,
451,ASML Holding,Netherlands,2692.5,Netherlands,10978,85378,22930,Peter Wennink,Semiconductors,
15,AT&T,United States,30643,Texas,159219,198293,446343,Randall Stephenson,Telecommunications services,Texas
858,ATOS,France,677.5,France,14315,13904,16192,Thierry Breton,Computer Services,
1116,AU Optronics,Taiwan,1063.7,Taiwan,11210,4091,14834,Shuang Peng,Electronics,
1433,AVIC Capita,China,459.4,China,1910,7723,36182,Hong Zhao,Investment Services,
33,AXA Group,France,6745,France,149895,64058,1029142,Thomas Buberl,Diversified Insurance,
1748,Aareal Bank,Germany,224.4,Germany,1146,3011,50979,Hermann Merkens,Thrifts & Mortgage Finance,
137,AbbVie,United States,6352,Illinois,29612,165321,69342,Richard Gonzalez,Pharmaceuticals,Illinois
421,Abbott Laboratories,United States,466,Illinois,28445,107400,70908,Miles White,Pharmaceuticals,Illinois
1480,Abengoa,Spain,4825,Spain,1669,255,7635,Joaquin Marin,Construction Services,
766,Abertis,Spain,1012.2,Spain,5922,19870,35821,Francisco Navarro,Other Transportation,
1959,Abiomed,United States,112.2,Massachusetts,594,16538,786,Michael Minogue,Medical Equipment & Supplies,Massachusetts
833,Abitare In Spa,Italy,918.5,Italy,21546,69,32669,Luigi Gozzini,Real Estate,
930,Abu Dhabi Commercial Bank,United Arab Emirates,1148,United Arab Emirates,3500,9656,72597,Ala'a Khalil Eraiqat,Regional Banks,
1489,Abu Dhabi Islamic Bank,United Arab Emirates,544.1,United Arab Emirates,1824,3295,33795,Khamis Al-Shamsi,Regional Banks,
288,Accenture,Ireland,3589.3,Ireland,39120,101016,23133,Pierre Nanterme,Computer Services,
1643,Acciona,Spain,248.3,Spain,8182,4588,20591,José Entrecanales,Construction Services,
1431,Accor,France,455.7,France,2185,16052,14501,Sébastien Bazin,Hotels & Motels,
997,Activision Blizzard,United States,347,California,7257,54578,18397,Robert Kotick,Recreational Products,California
1605,Adani Ports & Special Economic Zone,India,561,India,1756,12669,7264,Mrithyunjay Chandilya,Other Transportation,
866,Adecco,Switzerland,869.4,Switzerland,27631,10971,12531,Alain Dehaze,Business & Personal Services,
457,Adidas,Germany,1671.1,Germany,24914,46154,18208,Kasper Rørsted,Apparel/Accessories,
1567,Adient,Ireland,164,Ireland,16796,5214,13089,Robert McDonald,Auto & Truck Parts,
627,Adobe Systems,United States,1878.6,California,7683,119119,14973,Shantanu Narayen,Software & Programming,California
1461,Advance Auto Parts,United States,475.5,Virginia,9374,8876,8482,Tom Greco,Specialty Stores,Virginia
1243,Advanced Info Service,Thailand,886.4,Thailand,4648,18389,8717,Somchai Lertsutiwong,Telecommunications services,
1867,Advanced Micro Devices,United States,197,California,5992,11584,3763,Lisa Su,Semiconductors,California
1083,Advanced Semiconductor,Taiwan,751.2,Taiwan,9633,11223,12240,Hung Pen Chang,Semiconductors,
277,Aegon,Netherlands,2550.3,Netherlands,35249,14114,452368,Alexander Wynaendts,Diversified Insurance,
846,Aena,Spain,1475.1,Spain,4686,31801,18871,Jaime Ponce,Other Transportation,
614,Aeon,Japan,220.1,Japan,75310,16519,88588,Motoya Okada,Food Retail,
1025,AerCap Holdings,Ireland,1080.4,Ireland,4961,7974,42494,Aengus Kelly,Other Transportation,
1932,Aeroflot-Russian Airlines,Russia,392.1,Russia,9137,2476,5933,Vitaly Savelyev,Airline,
1105,Aeroports de Paris,France,644.1,France,4080,21829,17143,Augustin de Romanet de Beaune,Other Transportation,
167,Aetna,United States,3494,Connecticut,60612,57135,59197,Mark Bertolini,Managed Health Care,Connecticut
1748,Affiliated Managers Group,United States,720.1,Florida,2434,8949,8584,Sean Healey,Investment Services,Florida
195,Aflac,United States,4729,Georgia,21812,35016,147356,Dan Amos,Life & Health Insurance,Georgia
657,Ageas,Belgium,702.9,Belgium,12860,10601,123234,Bart de Smet,Diversified Insurance,
1015,Agile Property Holdings,China,898.5,China,7689,7864,25086,Victor Massiah,Real Estate,
1730,Agilent Technologies,United States,196,California,4616,22396,8698,Michael McMullen,Electronics,California
5,Agricultural Bank of China,China,29638.7,China,129345,184125,3439314,Mu Zhou,Regional Banks,
1430,Ahli United Bank,Bahrain,598.3,Bahrain,1660,4770,33908,Adel Shafe El-Labban,Regional Banks,
1022,Air Canada,Canada,1484.2,Canada,12997,5078,14714,Calin Rovinescu,Airline,
1128,Air France-KLM,France,-309.1,France,29080,3778,29309,Frédéric Gagey,Airline,
